_id,place_id,label_id,pattern_id,week_start
1,1,1,1,20220530
2,1,2,6,20220530
3,1,3,6,20220530
4,1,4,6,20220530
5,1,1,3,20220829
6,1,2,7,20220829
7,1,3,7,20220829
8,1,4,7,20220829
9,1,1,1,20220228
10,1,2,6,20220228
11,1,3,6,20220228
12,1,4,6,20220228
13,1,1,2,20221128
14,1,2,2,20221128
15,1,3,2,20221128
16,1,4,2,20221128
17,1,1,1,20220328
18,1,2,6,20220328
19,1,3,6,20220328
20,1,4,6,20220328
21,1,1,1,20220627
22,1,2,6,20220627
23,1,3,6,20220627
24,1,4,6,20220627
25,1,1,1,20220926
26,1,2,6,20220926
27,1,3,6,20220926
28,1,4,6,20220926
29,1,1,1,20220425
30,1,2,6,20220425
31,1,3,6,20220425
32,1,4,6,20220425
33,1,1,1,20220725
34,1,2,6,20220725
35,1,3,6,20220725
36,1,4,6,20220725
37,1,1,1,20221024
38,1,2,6,20221024
39,1,3,6,20221024
40,1,4,6,20221024
41,1,1,1,20220523
42,1,2,6,20220523
43,1,3,6,20220523
44,1,4,6,20220523
45,1,1,1,20220822
46,1,2,6,20220822
47,1,3,6,20220822
48,1,4,6,20220822
49,1,1,1,20220321
50,1,2,6,20220321
51,1,3,6,20220321
52,1,4,6,20220321
53,1,1,4,20220221
54,1,2,4,20220221
55,1,3,4,20220221
56,1,4,4,20220221
57,1,1,2,20221121
58,1,2,2,20221121
59,1,3,2,20221121
60,1,4,2,20221121
61,1,1,1,20220620
62,1,2,6,20220620
63,1,3,6,20220620
64,1,4,6,20220620
65,1,1,1,20220919
66,1,2,6,20220919
67,1,3,6,20220919
68,1,4,6,20220919
69,1,1,3,20220418
70,1,2,7,20220418
71,1,3,7,20220418
72,1,4,7,20220418
73,1,2,8,20220718
74,1,3,8,20220718
75,1,4,8,20220718
76,1,1,5,20220718
77,1,1,1,20221017
78,1,2,6,20221017
79,1,3,6,20221017
80,1,4,6,20221017
81,1,1,1,20220516
82,1,2,6,20220516
83,1,3,6,20220516
84,1,4,6,20220516
85,1,1,1,20220815
86,1,2,6,20220815
87,1,3,6,20220815
88,1,4,6,20220815
89,1,1,1,20220314
90,1,2,6,20220314
91,1,3,6,20220314
92,1,4,6,20220314
93,1,1,1,20220613
94,1,2,6,20220613
95,1,3,6,20220613
96,1,4,6,20220613
97,1,1,1,20220912
98,1,2,6,20220912
99,1,3,6,20220912
100,1,4,6,20220912
101,1,1,2,20221212
102,1,2,2,20221212
103,1,3,2,20221212
104,1,4,2,20221212
105,1,1,1,20220711
106,1,2,6,20220711
107,1,3,6,20220711
108,1,4,6,20220711
109,1,1,1,20220411
110,1,2,6,20220411
111,1,3,6,20220411
112,1,4,6,20220411
113,1,1,1,20221010
114,1,2,6,20221010
115,1,3,6,20221010
116,1,4,6,20221010
117,1,1,1,20220509
118,1,2,6,20220509
119,1,3,6,20220509
120,1,4,6,20220509
121,1,1,1,20220808
122,1,2,6,20220808
123,1,3,6,20220808
124,1,4,6,20220808
125,1,1,1,20220307
126,1,2,6,20220307
127,1,3,6,20220307
128,1,4,6,20220307
129,1,1,1,20220606
130,1,2,6,20220606
131,1,3,6,20220606
132,1,4,6,20220606
133,1,1,1,20220905
134,1,2,6,20220905
135,1,3,6,20220905
136,1,4,6,20220905
137,1,1,2,20221205
138,1,2,2,20221205
139,1,3,2,20221205
140,1,4,2,20221205
141,1,1,1,20220404
142,1,2,6,20220404
143,1,3,6,20220404
144,1,4,6,20220404
145,1,1,1,20220704
146,1,2,6,20220704
147,1,3,6,20220704
148,1,4,6,20220704
149,1,1,1,20221003
150,1,2,6,20221003
151,1,3,6,20221003
152,1,4,6,20221003
153,1,1,3,20220502
154,1,2,7,20220502
155,1,3,7,20220502
156,1,4,7,20220502
157,1,1,1,20220801
158,1,2,6,20220801
159,1,3,6,20220801
160,1,4,6,20220801
161,2,5,9,20220530
162,2,5,9,20220829
163,2,5,11,20220328
164,2,5,9,20220627
165,2,5,13,20220926
166,2,5,10,20220425
167,2,5,9,20220725
168,2,5,9,20220523
169,2,5,9,20220822
170,2,5,9,20220620
171,2,5,9,20220919
172,2,5,9,20220418
173,2,5,9,20220718
174,2,5,9,20220516
175,2,5,9,20220815
176,2,5,9,20220613
177,2,5,9,20220912
178,2,5,9,20220711
179,2,5,9,20220411
180,2,5,9,20220509
181,2,5,9,20220808
182,2,5,9,20220606
183,2,5,9,20220905
184,2,5,9,20220404
185,2,5,9,20220704
186,2,5,12,20220502
187,2,5,9,20220801
188,4,6,16,20221031
189,4,6,16,20220829
190,4,6,16,20220228
191,4,6,14,20211227
192,4,6,16,20220627
193,4,6,15,20221226
194,4,6,16,20220425
195,4,6,16,20221024
196,4,6,16,20220822
197,4,6,16,20220221
198,4,6,16,20220620
199,4,6,16,20221219
200,4,6,16,20220418
201,4,6,16,20221017
202,4,6,16,20220815
203,4,6,16,20220214
204,4,6,16,20220613
205,4,6,16,20221212
206,4,6,16,20220411
207,4,6,16,20221010
208,4,6,16,20220808
209,4,6,16,20220207
210,4,6,16,20220606
211,4,6,16,20221205
212,4,6,16,20220404
213,4,6,16,20221003
214,4,6,16,20220801
215,4,6,16,20220131
216,4,6,16,20220530
217,4,6,16,20220328
218,4,6,16,20221128
219,4,6,16,20220926
220,4,6,16,20220725
221,4,6,16,20220124
222,4,6,16,20220523
223,4,6,16,20220321
224,4,6,16,20221121
225,4,6,16,20220919
226,4,6,16,20220718
227,4,6,16,20220117
228,4,6,16,20220516
229,4,6,16,20221114
230,4,6,16,20220314
231,4,6,16,20220912
232,4,6,16,20220711
233,4,6,16,20220110
234,4,6,16,20220509
235,4,6,16,20221107
236,4,6,16,20220307
237,4,6,16,20220905
238,4,6,16,20220704
239,4,6,16,20220103
240,4,6,16,20220502
241,3,7,19,20221031
242,3,7,19,20220829
243,3,7,19,20220228
244,3,7,17,20211227
245,3,7,19,20220627
246,3,7,18,20221226
247,3,7,19,20220425
248,3,7,19,20221024
249,3,7,19,20220822
250,3,7,19,20220221
251,3,7,19,20220620
252,3,7,19,20221219
253,3,7,19,20220418
254,3,7,19,20221017
255,3,7,19,20220815
256,3,7,19,20220214
257,3,7,19,20220613
258,3,7,19,20221212
259,3,7,19,20220411
260,3,7,19,20221010
261,3,7,19,20220808
262,3,7,19,20220207
263,3,7,19,20220606
264,3,7,19,20221205
265,3,7,19,20220404
266,3,7,19,20221003
267,3,7,19,20220801
268,3,7,19,20220131
269,3,7,19,20220530
270,3,7,19,20220328
271,3,7,19,20221128
272,3,7,19,20220926
273,3,7,19,20220725
274,3,7,19,20220124
275,3,7,19,20220523
276,3,7,19,20220321
277,3,7,19,20221121
278,3,7,19,20220919
279,3,7,19,20220718
280,3,7,19,20220117
281,3,7,19,20220516
282,3,7,19,20221114
283,3,7,19,20220314
284,3,7,19,20220912
285,3,7,19,20220711
286,3,7,19,20220110
287,3,7,19,20220509
288,3,7,19,20221107
289,3,7,19,20220307
290,3,7,19,20220905
291,3,7,19,20220704
292,3,7,19,20220103
293,3,7,19,20220502
294,5,8,22,20221031
295,5,8,22,20220829
296,5,8,22,20220228
297,5,8,20,20211227
298,5,8,22,20220627
299,5,8,21,20221226
300,5,8,22,20220425
301,5,8,22,20221024
302,5,8,22,20220822
303,5,8,22,20220221
304,5,8,22,20220620
305,5,8,22,20221219
306,5,8,22,20220418
307,5,8,22,20221017
308,5,8,22,20220815
309,5,8,22,20220214
310,5,8,22,20220613
311,5,8,22,20221212
312,5,8,22,20220411
313,5,8,22,20221010
314,5,8,22,20220808
315,5,8,22,20220207
316,5,8,22,20220606
317,5,8,22,20221205
318,5,8,22,20220404
319,5,8,22,20221003
320,5,8,22,20220801
321,5,8,22,20220131
322,5,8,22,20220530
323,5,8,22,20220328
324,5,8,22,20221128
325,5,8,22,20220926
326,5,8,22,20220725
327,5,8,22,20220124
328,5,8,22,20220523
329,5,8,22,20220321
330,5,8,22,20221121
331,5,8,22,20220919
332,5,8,22,20220718
333,5,8,22,20220117
334,5,8,22,20220516
335,5,8,22,20221114
336,5,8,22,20220314
337,5,8,22,20220912
338,5,8,22,20220711
339,5,8,22,20220110
340,5,8,22,20220509
341,5,8,22,20221107
342,5,8,22,20220307
343,5,8,22,20220905
344,5,8,22,20220704
345,5,8,22,20220103
346,5,8,22,20220502
347,6,9,25,20221031
348,6,9,25,20220829
349,6,9,25,20220228
350,6,9,23,20211227
351,6,9,25,20220627
352,6,9,24,20221226
353,6,9,25,20220425
354,6,9,25,20221024
355,6,9,25,20220822
356,6,9,25,20220221
357,6,9,25,20220620
358,6,9,25,20221219
359,6,9,25,20220418
360,6,9,25,20221017
361,6,9,25,20220815
362,6,9,25,20220214
363,6,9,25,20220613
364,6,9,25,20221212
365,6,9,25,20220411
366,6,9,25,20221010
367,6,9,25,20220808
368,6,9,25,20220207
369,6,9,25,20220606
370,6,9,25,20221205
371,6,9,25,20220404
372,6,9,25,20221003
373,6,9,25,20220801
374,6,9,25,20220131
375,6,9,25,20220530
376,6,9,25,20220328
377,6,9,25,20221128
378,6,9,25,20220926
379,6,9,25,20220725
380,6,9,25,20220124
381,6,9,25,20220523
382,6,9,25,20220321
383,6,9,25,20221121
384,6,9,25,20220919
385,6,9,25,20220718
386,6,9,25,20220117
387,6,9,25,20220516
388,6,9,25,20221114
389,6,9,25,20220314
390,6,9,25,20220912
391,6,9,25,20220711
392,6,9,25,20220110
393,6,9,25,20220509
394,6,9,25,20221107
395,6,9,25,20220307
396,6,9,25,20220905
397,6,9,25,20220704
398,6,9,25,20220103
399,6,9,25,20220502
400,7,10,26,20220530
401,7,10,26,20220829
402,7,10,26,20220328
403,7,10,26,20220627
404,7,10,26,20220926
405,7,10,26,20220425
406,7,10,26,20220725
407,7,10,26,20221024
408,7,10,26,20220523
409,7,10,26,20220822
410,7,10,26,20220620
411,7,10,26,20220919
412,7,10,26,20220418
413,7,10,26,20220718
414,7,10,26,20221017
415,7,10,26,20220516
416,7,10,26,20220815
417,7,10,26,20220613
418,7,10,26,20220912
419,7,10,26,20220711
420,7,10,26,20220411
421,7,10,26,20221010
422,7,10,26,20220509
423,7,10,26,20220808
424,7,10,26,20220606
425,7,10,26,20220905
426,7,10,26,20220404
427,7,10,26,20220704
428,7,10,26,20221003
429,7,10,26,20220502
430,7,10,26,20220801
431,8,11,29,20221031
432,8,11,29,20220829
433,8,11,29,20220228
434,8,11,27,20211227
435,8,11,29,20220627
436,8,11,28,20221226
437,8,11,29,20220425
438,8,11,29,20221024
439,8,11,29,20220822
440,8,11,29,20220221
441,8,11,29,20220620
442,8,11,29,20221219
443,8,11,29,20220418
444,8,11,29,20221017
445,8,11,29,20220815
446,8,11,29,20220214
447,8,11,29,20220613
448,8,11,29,20221212
449,8,11,29,20220411
450,8,11,29,20221010
451,8,11,29,20220808
452,8,11,29,20220207
453,8,11,29,20220606
454,8,11,29,20221205
455,8,11,29,20220404
456,8,11,29,20221003
457,8,11,29,20220801
458,8,11,29,20220131
459,8,11,29,20220530
460,8,11,29,20220328
461,8,11,29,20221128
462,8,11,29,20220926
463,8,11,29,20220725
464,8,11,29,20220124
465,8,11,29,20220523
466,8,11,29,20220321
467,8,11,29,20221121
468,8,11,29,20220919
469,8,11,29,20220718
470,8,11,29,20220117
471,8,11,29,20220516
472,8,11,29,20221114
473,8,11,29,20220314
474,8,11,29,20220912
475,8,11,29,20220711
476,8,11,29,20220110
477,8,11,29,20220509
478,8,11,29,20221107
479,8,11,29,20220307
480,8,11,29,20220905
481,8,11,29,20220704
482,8,11,29,20220103
483,8,11,29,20220502
484,9,12,31,20221031
485,9,12,31,20220530
486,9,12,31,20220829
487,9,12,31,20221128
488,9,12,32,20220328
489,9,12,31,20220627
490,9,12,30,20221226
491,9,12,31,20220926
492,9,12,31,20220425
493,9,12,31,20220725
494,9,12,31,20221024
495,9,12,31,20220523
496,9,12,31,20220822
497,9,12,31,20221121
498,9,12,31,20220620
499,9,12,31,20220919
500,9,12,31,20221219
501,9,12,31,20220418
502,9,12,31,20220718
503,9,12,31,20221017
504,9,12,31,20220516
505,9,12,31,20220815
506,9,12,31,20221114
507,9,12,31,20220613
508,9,12,31,20220912
509,9,12,31,20221212
510,9,12,31,20220711
511,9,12,31,20220411
512,9,12,31,20221010
513,9,12,31,20220509
514,9,12,31,20220808
515,9,12,31,20221107
516,9,12,31,20220606
517,9,12,31,20220905
